Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,TRB%,AST%,OWS,DWS,WS,WS/48,Awards,season,is_playoff
158.0,Chuck Terry,22.0,MIL,SF,67.0,,693.0,5.0,0.368,0.148,10.1,6.6,-0.9,1.0,0.1,0.004,,1973,False
159.0,Dick Cunningham,26.0,MIL,C,72.0,,692.0,9.1,0.441,0.321,14.6,5.7,-0.2,1.2,1.0,0.071,,1973,False
160.0,Mike Ratliff,21.0,KCO,C,58.0,,681.0,10.2,0.443,0.357,14.8,7.2,-0.3,0.1,-0.2,-0.014,,1973,False
161.0,Mel Counts,31.0,2TM,C,66.0,0.0,658.0,16.3,0.474,0.197,17.5,13.3,0.3,1.2,1.5,0.111,,1973,False
161.0,Mel Counts,31.0,PHI,C,7.0,0.0,47.0,6.2,0.313,0.0,15.2,8.3,-0.1,0.0,-0.1,-0.103,,1973,False
161.0,Mel Counts,31.0,LAL,C,59.0,,611.0,17.1,0.483,0.209,17.7,13.7,0.4,1.2,1.6,0.127,,1973,False
162.0,Rich Rinaldi,23.0,BAL,SG,33.0,,646.0,11.4,0.448,0.225,4.9,9.9,-0.2,0.7,0.4,0.033,,1973,False
163.0,Toby Kimball,30.0,KCO,PF,67.0,,643.0,11.6,0.473,0.305,15.5,5.5,0.2,0.1,0.2,0.018,,1973,False
164.0,Flynn Robinson,31.0,2TM,SG,44.0,,630.0,14.3,0.488,0.135,4.6,18.9,0.6,0.8,1.3,0.1,,1973,False
164.0,Flynn Robinson,31.0,LAL,SG,6.0,,47.0,20.8,0.539,0.286,6.8,26.2,0.1,0.1,0.2,0.219,,1973,False
164.0,Flynn Robinson,31.0,BAL,SG,38.0,,583.0,13.8,0.482,0.119,4.4,18.3,0.4,0.7,1.1,0.091,,1973,False
165.0,John Tresvant,33.0,BAL,PF,55.0,,541.0,13.3,0.507,0.324,13.5,7.9,0.6,0.9,1.5,0.13,,1973,False
166.0,John Gianelli,22.0,NYK,C,52.0,,516.0,12.1,0.478,0.189,14.4,6.3,0.2,1.0,1.2,0.11,,1973,False
167.0,Dick Barnett,36.0,NYK,SG,51.0,,514.0,8.1,0.401,0.133,3.9,13.0,-0.8,0.6,-0.2,-0.022,,1973,False
