Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
46,Bill Hanzlik,SF,24,SEA,8,203,10.8,0.595,0.029,0.647,5.2,11.1,8.2,13.7,1.5,1.4,22.9,11.8,,0.2,0.3,0.5,0.111,,-1.3,1.2,-0.1,0.1,1982,True
47,Steve Hawes,PF,31,ATL,1,12,26.2,0.518,0.0,0.8,29.7,24.4,27.3,0.0,0.0,0.0,0.0,26.4,,0.1,0.0,0.1,0.238,,8.2,-2.9,5.3,0.0,1982,True
48,Elvin Hayes*,PF,36,HOU,3,124,10.4,0.371,0.0,0.3,5.3,19.6,12.1,4.0,0.9,4.5,9.6,22.3,,-0.2,0.2,-0.1,-0.023,,-3.4,0.6,-2.7,0.0,1982,True
49,Spencer Haywood*,PF,32,WSB,7,231,18.2,0.537,0.0,0.304,7.6,11.5,9.5,5.8,0.9,3.6,10.3,26.4,,0.3,0.3,0.7,0.136,,3.8,0.3,4.2,0.3,1982,True
50,Gerald Henderson,PG,26,BOS,12,310,10.3,0.461,0.022,0.376,4.2,4.3,4.2,21.6,2.2,0.4,18.7,17.5,,0.0,0.4,0.4,0.067,,0.2,-0.4,-0.2,0.1,1982,True
51,Tom Henderson,SG,30,HOU,3,68,7.1,0.394,0.0,0.25,7.0,4.7,5.9,19.8,0.0,0.0,18.4,14.1,,0.0,0.0,0.0,-0.024,,-2.8,-2.3,-5.1,-0.1,1982,True
52,Kenny Higgs,PG,27,DEN,3,54,7.1,0.438,0.095,0.571,2.0,4.2,3.1,13.0,2.5,0.0,16.0,22.5,,-0.1,0.0,-0.1,-0.067,,-7.5,-0.6,-8.0,-0.1,1982,True
53,Brad Holland,SG,25,MIL,1,3,36.6,1.0,0.0,0.0,0.0,0.0,0.0,70.6,0.0,0.0,0.0,14.1,,0.0,0.0,0.0,0.468,,17.3,4.5,21.8,0.0,1982,True
54,Lionel Hollins,PG,28,PHI,8,114,7.2,0.329,0.02,0.122,1.0,7.6,4.4,29.8,3.9,0.5,20.1,23.7,,-0.4,0.1,-0.2,-0.103,,-3.9,0.1,-3.7,-0.1,1982,True
55,Cedrick Hordges,PF,25,DEN,3,45,10.3,0.458,0.053,0.211,4.7,27.9,15.9,5.4,1.0,0.0,16.2,21.3,,-0.1,0.0,0.0,-0.041,,-3.9,-1.8,-5.7,0.0,1982,True
56,Dan Issel*,C,33,DEN,3,103,22.0,0.582,0.0,0.2,8.3,14.4,11.2,7.0,1.3,0.5,9.7,27.2,,0.3,0.0,0.3,0.142,,2.8,-1.1,1.7,0.1,1982,True
57,Clay Johnson,SG,25,LAL,7,38,8.4,0.607,0.0,0.222,2.9,5.3,4.2,3.1,1.2,0.0,9.2,11.3,,0.1,0.0,0.1,0.097,,-1.6,-1.1,-2.7,0.0,1982,True
58,Dennis Johnson*,SG,27,PHO,7,271,16.2,0.523,0.023,0.295,5.0,7.5,6.2,16.1,2.6,0.8,14.4,25.3,,0.2,0.0,0.3,0.046,,-0.5,-0.6,-1.1,0.1,1982,True
59,Eddie Johnson,SG,26,ATL,2,67,5.1,0.396,0.0,0.154,0.0,13.1,5.9,27.4,0.0,1.0,20.1,24.3,,-0.2,0.0,-0.2,-0.141,,-5.7,-2.2,-8.0,-0.1,1982,True
60,Frank Johnson,PG,23,WSB,7,280,12.0,0.469,0.115,0.269,2.7,6.2,4.4,33.6,1.8,0.0,20.0,21.7,,-0.1,0.3,0.2,0.038,,1.8,-1.3,0.5,0.2,1982,True
61,George Johnson,C,33,SAS,9,175,8.9,0.539,0.0,0.625,6.8,21.3,13.7,7.9,1.6,4.7,28.2,3.2,,0.1,0.2,0.3,0.09,,-3.1,4.2,1.0,0.1,1982,True
62,John Johnson,SF,34,SEA,7,159,10.1,0.444,0.0,0.289,4.7,4.5,4.6,30.4,1.9,0.0,20.4,14.3,,0.0,0.2,0.2,0.05,,-0.6,0.3,-0.4,0.1,1982,True
63,Magic Johnson*,SG,22,LAL,14,562,22.5,0.614,0.025,0.592,10.8,18.6,14.9,27.7,3.3,0.3,18.2,16.9,,1.9,0.8,2.7,0.231,,5.7,2.4,8.2,1.5,1982,True
64,Marques Johnson,SF,25,MIL,6,235,15.1,0.477,0.04,0.42,11.4,12.7,12.0,13.8,1.3,0.5,9.2,23.5,,0.3,0.0,0.3,0.065,,1.3,-1.6,-0.3,0.1,1982,True
65,Mickey Johnson,PF,29,MIL,6,206,21.7,0.646,0.013,0.52,8.5,11.7,9.9,14.6,2.0,1.2,12.4,21.6,,0.8,0.0,0.9,0.201,,4.7,1.0,5.7,0.4,1982,True
66,Bobby Jones*,PF,30,PHI,21,589,16.5,0.611,0.0,0.466,7.3,11.4,9.4,12.5,1.2,2.1,13.6,17.2,,1.4,0.6,2.0,0.16,,3.2,0.5,3.7,0.9,1982,True
67,Caldwell Jones,C,31,PHI,21,679,11.7,0.514,0.0,0.256,8.9,21.9,15.6,3.7,0.8,3.4,14.0,12.8,,0.4,1.0,1.4,0.097,,-0.2,0.2,0.0,0.3,1982,True
68,Eddie Jordan,PG,27,LAL,3,6,22.0,0.0,0.5,0.0,0.0,0.0,0.0,84.7,15.5,0.0,33.3,19.7,,0.0,0.0,0.0,-0.03,,6.7,12.7,19.3,0.0,1982,True
69,Rich Kelley,C,28,PHO,7,191,15.4,0.541,0.0,0.37,9.9,17.8,13.7,19.1,1.5,0.8,16.0,15.4,,0.3,0.0,0.4,0.089,,-0.1,0.5,0.4,0.1,1982,True
70,Greg Kelser,SF,24,SEA,3,6,12.5,0.532,0.0,2.0,17.7,34.0,26.1,20.9,0.0,0.0,34.7,40.6,,0.0,0.0,0.0,-0.017,,-9.0,-0.3,-9.3,0.0,1982,True
71,Albert King,SF,22,NJN,2,58,23.7,0.568,0.0,0.152,5.9,10.6,8.2,22.5,4.3,1.1,12.4,29.7,,0.1,0.1,0.2,0.181,,4.4,3.8,8.2,0.2,1982,True
72,Joel Kramer,PF,26,PHO,4,20,23.4,0.721,0.0,0.429,10.5,17.0,13.6,7.0,2.3,0.0,10.7,18.3,,0.1,0.0,0.1,0.203,,3.8,0.7,4.5,0.0,1982,True
73,John Lambert,PF,29,SAS,2,3,5.4,0.0,1.0,0.0,0.0,36.5,17.4,37.2,0.0,0.0,0.0,13.1,,0.0,0.0,0.0,-0.135,,-2.6,1.4,-1.3,0.0,1982,True
74,Mark Landsberger,PF,26,LAL,9,60,5.3,0.386,0.0,1.0,20.5,18.5,19.4,3.6,0.0,0.0,23.6,11.1,,0.0,0.0,0.0,0.015,,-3.5,-3.9,-7.4,-0.1,1982,True
75,Bob Lanier*,C,33,MIL,6,212,17.3,0.527,0.013,0.313,9.9,18.1,13.6,17.0,1.9,1.5,13.3,21.0,,0.3,0.1,0.4,0.09,,2.3,0.5,2.9,0.3,1982,True
